Cycles (Myr)	Spectral Power
8.13852E-05	1.62E-12
0.00016277	4.1147E-10
0.000244156	1.04409E-08
0.000325541	1.02843E-07
0.000406926	6.0205E-07
0.000488311	2.53221E-06
0.000569696	8.46682E-06
0.000651081	2.39064E-05
0.000732467	5.92633E-05
0.000813852	0.000132455
0.000895237	0.00027201
0.000976622	0.00052046
0.001058007	0.000937712
0.001139392	0.001603942
0.001220778	0.002621525
0.001302163	0.004115465
0.001383548	0.006231796
0.001464933	0.009133554
0.001546318	0.012994002
0.001627704	0.017987049
0.001709089	0.024274999
0.001790474	0.031994092
0.001871859	0.041238538
0.001953244	0.052044052
0.002034629	0.064372101
0.002116015	0.078096247
0.0021974	0.09299203
0.002278785	0.108731812
0.00236017	0.12488582
0.002441555	0.140930361
0.00252294	0.156263778
0.002604326	0.170230215
0.002685711	0.182150708
0.002767096	0.191360475
0.002848481	0.197250734
0.002929866	0.199312762
0.003011252	0.197181523
0.003092637	0.190675822
0.003174022	0.179831861
0.003255407	0.164927119
0.003336792	0.146491801
0.003418177	0.125305636
0.003499563	0.102378545
0.003580948	0.078914631
0.003662333	0.056260035
0.003743718	0.035836322
0.003825103	0.019062249
0.003906488	0.007267824
0.003987874	0.001605521
0.004069259	0.002964223
0.004150644	0.011891871
0.004232029	0.028532852
0.004313414	0.052585864
0.004394799	0.083287221
0.004476185	0.119423498
0.00455757	0.15937589
0.004638955	0.20119694
0.00472034	0.24271829
0.004801725	0.281686063
0.004883111	0.315918415
0.004964496	0.343477906
0.005045881	0.362849722
0.005127266	0.373115542
0.005208651	0.37411212
0.005290036	0.36656356
0.005371422	0.352176705
0.005452807	0.333690297
0.005534192	0.314870315
0.005615577	0.300446341
0.005696962	0.295986632
0.005778347	0.307712832
0.005859733	0.342258666
0.005941118	0.40638039
0.006022503	0.506630008
0.006103888	0.649005153
0.006185273	0.838591808
0.006266659	1.079217632
0.006348044	1.373134383
0.006429429	1.720747681
0.006510814	2.120411149
0.006592199	2.568299759
0.006673584	3.058374109
0.00675497	3.582443431
0.006836355	4.130330622
0.00691774	4.690137615
0.006999125	5.248604337
0.00708051	5.791549444
0.007161895	6.304376403
0.007243281	6.772624458
0.007324666	7.182540889
0.007406051	7.521648853
0.007487436	7.779284293
0.007568821	7.947075797
0.007650207	8.019343145
0.007731592	7.993393313
0.007812977	7.869697005
0.007894362	7.651934025
0.007975747	7.346901808
0.008057132	6.964287902
0.008138518	6.516313806
0.008219903	6.017263986
0.008301288	5.482919764
0.008382673	4.929922809
0.008464058	4.375096865
0.008545443	3.834758874
0.008626829	3.324051682
0.008708214	2.856329948
0.008789599	2.44262864
0.008870984	2.09123986
0.008952369	1.807418618
0.009033755	1.593232028
0.00911514	1.447559392
0.009196525	1.36624319
0.00927791	1.34238344
0.009359295	1.3667607
0.00944068	1.428366387
0.009522066	1.515013647
0.009603451	1.613997793
0.009684836	1.712772759
0.009766221	1.799609115
0.009847606	1.864200097
0.009928991	1.898184737
0.010010377	1.895561453
0.010091762	1.852971121
0.010173147	1.769835454
0.010254532	1.648344069
0.010335917	1.493291561
0.010417302	1.311773806
0.010498688	1.112760134
0.010580073	0.906564591
0.010661458	0.704244895
0.010742843	0.516961526
0.010824228	0.355331555
0.010905614	0.228812145
0.010986999	0.145147101
0.011068384	0.109906519
0.011149769	0.12614468
0.011231154	0.194194993
0.011312539	0.311613527
0.011393925	0.473274698
0.01147531	0.671614509
0.011556695	0.897008826
0.01163808	1.138266854
0.011719465	1.383213744
0.01180085	1.61933136
0.011882236	1.834423034
0.011963621	2.017266666
0.012045006	2.158221045
0.012126391	2.249752593
0.012207776	2.28685385
0.012289162	2.267330666
0.012370547	2.191941961
0.012451932	2.064383673
0.012533317	1.891116773
0.012614702	1.681047487
0.012696087	1.445075743
0.012777473	1.195534897
0.012858858	0.945551666
0.012940243	0.708359514
0.013021628	0.496601389
0.013103013	0.321658395
0.013184398	0.193039876
0.013265784	0.117867281
0.013347169	0.100479528
0.013428554	0.142181352
0.013509939	0.241148851
0.013591324	0.392498383
0.01367271	0.588516572
0.013754095	0.819040913
0.01383548	1.071972697
0.013916865	1.333897157
0.01399825	1.59078017
0.014079635	1.828706842
0.014161021	2.034625065
0.014242406	2.197056733
0.014323791	2.306740771
0.014405176	2.357175439
0.014486561	2.345032221
0.014567946	2.270419866
0.014649332	2.136984472
0.014730717	1.951839404
0.014812102	1.725327118
0.014893487	1.470623035
0.014974872	1.203199155
0.015056258	0.940171771
0.015137643	0.699563055
0.015219028	0.499510276
0.015300413	0.357458685
0.015381798	0.28937474
0.015463183	0.30901512
